fik_C1,fik_C2,fik_C3,fik_C4,DisplayName,Year,ExhibitionTitle,IsFuzzy
0.009410493813510204,0.9411270860297294,0.04007948913272623,0.00938293102403426,peter blume,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.0,1.0,0.0,0.0,jean charlot,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.008813427107344125,0.9454858719155546,0.037204313103040364,0.008496387874061057,stefan hirsch,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.014440590744309983,0.9117607649543867,0.05983237157232967,0.013966272728973583,charles lapique,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.014717856972465002,0.9079321256981694,0.06219129729213823,0.015158720037227473,reginald marsh,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.0,1.0,0.0,0.0,marjorie phillips,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.0,1.0,0.0,0.0,pavel tchelitchew,1930,Summer Exhibition: Painting and Sculpture|46 Painters and Sculptors under 35 Years of Age,True
0.0,0.0,1.0,0.0,charles burchfield,1930,Charles Burchfield: Early Watercolors 19161918|Summer Exhibition: Painting and Sculpture,True
0.0,0.0,1.0,0.0,thomas eakins,1930,"Homer, Ryder, and Eakins|Summer Exhibition: Painting and Sculpture",True
0.0,0.0,1.0,0.0,winslow homer,1930,"Homer, Ryder, and Eakins|Summer Exhibition: Painting and Sculpture",True
0.0,0.0,1.0,0.0,albert pinkham ryder,1930,"Homer, Ryder, and Eakins|Summer Exhibition: Painting and Sculpture",True
1.0,0.0,0.0,0.0,georg kolbe,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,otto mueller,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,oskar schlemmer,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,max pechstein,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,paul kleinschmidt,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,arthur b. davies,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,claude monet,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,renée sintenis,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,ernst barlach,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,ernesto de fiori,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,willi baumeister,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,paula modersohn-becker,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,otto dix,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,johannes molzahn,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,claude lorraine,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,paul klee,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,gerhard marcks,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,emil nolde,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,andré derain,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,georges-pierre seurat,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,georg schrimpf,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,camille pissarro,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,karl hofer,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,hilaire-germain-edgar degas,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,charles prendergast,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,henri rousseau,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,heinrich campendonk,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,pablo picasso,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,rudolf belling,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,maurice prendergast,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,karl schmidt-rottluff,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,franz marc,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,walt kuhn,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,paul signac,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,christian rohlfs,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,constantin guys,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,ernst ludwig kirchner,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,erich heckel,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,honoré daumier,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,paul gauguin,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,jean renoir,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,george grosz,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,paul dougherty,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,max beckmann,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,paul cézanne,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,diego rivera,1931,Diego Rivera,False
1.0,0.0,0.0,0.0,amedeo modigliani,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,oskar kokoschka,1931,German Painting and Sculpture,False
1.0,0.0,0.0,0.0,andré dunoyer de segonzac,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
1.0,0.0,0.0,0.0,pierre-auguste renoir,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss,False
0.0,0.0,0.0,1.0,odilon redon,1931,"Memorial Exhibition: The Collection of the Late Lillie P. Bliss|Toulouse-Lautrec, Redon",True
0.0,0.0,1.0,0.0,henri de toulouse-lautrec,1931,"Memorial Exhibition: The Collection of the Late Lillie P. Bliss|Toulouse-Lautrec, Redon",True
1.0,0.0,0.0,0.0,"alfred h. barr, jr.",1931,Henri Matisse|German Painting and Sculpture,True
0.0,1.0,0.0,0.0,henri matisse,1931,Memorial Exhibition: The Collection of the Late Lillie P. Bliss|Henri Matisse,True
1.0,0.0,0.0,0.0,william gropper,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,augustus saint-gaudens,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,joseph emberton,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,edward laning,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,otto haesler,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,ludwig mies van der rohe,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,pierre roy,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,a. lawrence kocher,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,hendrick v. duryea,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,george daub,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,maurice bratter,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,william glackens,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,louis michel eilshemius,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,wheeler williams,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,amyas connell,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,joella levy,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,samuel halpert,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,childe hassam,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,theodore robinson,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,philip evergood,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,john bellamy,1932,"American Folk Art: The Art of the Common Man in America, 17501900",False
1.0,0.0,0.0,0.0,karl schneider,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,george fuller,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,a. fissenko,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,maurice becker,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,odilon redon,1932,A Brief Survey of Modern Painting,False
1.0,0.0,0.0,0.0,ludvik kysela,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,thomas lafarge,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,charles munch,1932,A Brief Survey of Modern Painting,False
1.0,0.0,0.0,0.0,wilhelm hunt diederich,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,walter m. cory,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,charles cary rumsey,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,robert d. kohn,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,gino pollini,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,alexander helwig wyant,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,guy pène du bois,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,abraham walkowitz,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,a. f. bellows,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,edward hicks,1932,"American Folk Art: The Art of the Common Man in America, 17501900",False
1.0,0.0,0.0,0.0,louis bouché,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,joseph stock,1932,"American Folk Art: The Art of the Common Man in America, 17501900",False
1.0,0.0,0.0,0.0,andré dunoyer de segonzac,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,marcel gromaire,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,ivan nikolaev,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,ecp,1932,"American Folk Art: The Art of the Common Man in America, 17501900",False
1.0,0.0,0.0,0.0,william lescaze,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,claude monet,1932,A Brief Survey of Modern Painting,False
1.0,0.0,0.0,0.0,james edward davis,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,hans scharoun,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,irving bowman,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,ernesto de fiori,1932,Summer Exhibition: Painting and Sculpture,False
1.0,0.0,0.0,0.0,ben shahn,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,thomas wilmer dewing,1932,"American Painting and Sculpture, 18621932",False
1.0,0.0,0.0,0.0,matilda a. haviland,1932,"American Folk Art: The Art of the Common Man in America, 17501900",False
1.0,0.0,0.0,0.0,russell g. cory,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,henry churchill,1932,Modern Architecture: International Exhibition,False
1.0,0.0,0.0,0.0,monty lewis,1932,Murals by American Painters and Photographers,False
1.0,0.0,0.0,0.0,alexander brook,1932,"American Painting and Sculpture, 18621932",False
