fik_C1,fik_C2,fik_C3,fik_C4,DisplayName
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"P. Rigatti, Empoli, Italy"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,N.W. Roop
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Franco Scalamandre
0.00027494565128189974,0.02363347738208512,0.012481584631018026,0.963609992335615,"Scalamandre Silks, Inc."
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Stocker & Yale
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,G.F. Stocker
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Gerda Strömberg
0.00023746419219546557,0.9786754867619072,0.006391598794835695,0.014695450251061604,Pipsan Saarinen Swanson
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Taddei & Co.
0.00027494565128189974,0.02363347738208512,0.012481584631018026,0.963609992335615,D.D. Tillet
0.00027494565128189974,0.02363347738208512,0.012481584631018026,0.963609992335615,Leslie Tillet
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,"United States Glass Co., Tiffin, OH"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Villich-Franke Studios
0.004322024989773979,0.8027055311220018,0.07699819874593797,0.11597424514228624,"Vollrath Co., Sheboygan, WI"
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,Antoinette Webster
7.89510962953283e-05,0.005717799829202665,0.003578725619634156,0.9906245234548677,M. Ziskin
4.076057779721545e-05,0.0026150123123572884,0.001838492037888089,0.9955057350719574,Hyacinthe Caesar Delmaet
4.076057779721545e-05,0.0026150123123572884,0.001838492037888089,0.9955057350719574,Charles Paul Etienne Desavary-Dutilleux
4.076057779721545e-05,0.0026150123123572884,0.001838492037888089,0.9955057350719574,Louis-Émile Durandelle
0.003907301559876516,0.18488901446736766,0.1747950151015982,0.6364086688711577,Gustave Le Gray
0.0472436553663306,0.19422657958104092,0.5475389625087014,0.21099080254392702,Ad Reinhardt
0.1120156096710013,0.2105977749326124,0.45626779605337825,0.2211188193430081,Mark Rothko
0.002726249334639402,0.1260172100705449,0.2965829008935333,0.5746736397012825,Hedda Sterne
4.299699222436864e-05,0.0027719392567725565,0.001954702971300916,0.9952303607797023,Ada Louise Huxtable
4.3106556819887437e-05,0.0027615754172107495,0.0019524983682383098,0.9952428196577311,Dorothy Lytle
0.0018082298600843628,0.04316542669793928,0.8863165212433811,0.06870982219859523,William Brice
0.002485869675026794,0.06027559171189958,0.8405475705604252,0.09669096805264843,Camille Bryen
0.002556657396601338,0.05338249300781181,0.8644971455269461,0.07956370406864072,Joseph Glasco
0.015202986120313707,0.12469233518448906,0.7133330507220826,0.1467716279731147,Alfred Manessier
0.003339525886993346,0.14410363500816184,0.3073366302575576,0.5452202088472873,Andrew Carnduff Ritchie
0.0035816578867090463,0.12554671067828085,0.6125006274225988,0.2583710040124113,Roger van Rogger
4.010696098082539e-05,0.0025382882175624994,0.0019060735022097019,0.9955155313192471,Seymour Drumlevitch
0.00015989047812789393,0.010082741133725927,0.008799667778919043,0.9809577006092272,William D. King
0.0036511431962030693,0.11406907265502339,0.668773658273009,0.21350612587576445,Raymond Parker
0.007891193935936526,0.25897331249466016,0.25128836665748816,0.48184712691191506,Joseph Bellanca
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Fred Block
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Emerick Bronson
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Louis Condax
0.0015436024930637231,0.09057686414945408,0.07036311024940857,0.8375164231080736,Harold Corsini
0.003401800837696774,0.16933490836780776,0.14091621962810538,0.68634707116639,Ralph Crane
0.0004977424777042185,0.031171130439600434,0.022978829879819238,0.9453522972028761,Myron H. Davis
0.002410403325538612,0.13095841755365834,0.10520259976810291,0.7614285793527001,Loomis Dean
0.05623791025167479,0.29975162339033323,0.328035954291164,0.3159745120668281,Elliott Erwitt
0.0018122114794684415,0.1035587439508441,0.0812786015606175,0.81335044300907,Nat Farbman
0.0004977424777042185,0.031171130439600434,0.022978829879819238,0.9453522972028761,Herbet Gehr
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,G.W. Goddard
0.002410403325538612,0.13095841755365834,0.10520259976810291,0.7614285793527001,Otto Hagel
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Lilo Hess
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Clyde Holliday
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Thomas B. Hollyman
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,George Karger
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Wallace Kirkland
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Jurg Klages
0.001735130238046753,0.10154127391776413,0.08013678062965905,0.81658681521453,Jeannette Klute
0.0012527569861675908,0.07550473307776231,0.05786296868430778,0.8653795412517622,Dee Knapp
0.007434895774567254,0.2543202888347334,0.23986403537429346,0.49838078001640596,Lisa Larsen
0.002410403325538612,0.13095841755365834,0.10520259976810291,0.7614285793527001,Ralph Morse
0.007341498432127576,0.25268935064873577,0.2433498752800291,0.4966192756391074,Ruth Orkin
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,David Peskin
0.0006219703987487801,0.038755705453214676,0.028747604653164133,0.9318747194948724,Hy Peskin
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Dorothea Peterson
0.0018122114794684415,0.1035587439508441,0.0812786015606175,0.81335044300907,Charles Rotkin
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Dick Rutledge
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Valentino Sarra
0.00019667256648312476,0.012555874197152848,0.009086141630099564,0.9781613116062645,Sam Schullman
0.00807621370360533,0.26277097395470556,0.2541091693517707,0.4750436429899184,"Robert F. Sheehan, 3rd"
0.0032487445655016442,0.16404190395520155,0.13585665403750494,0.6968526974417919,George Silk
0.004767624704771603,0.21172935448221566,0.18886448243086665,0.5946385383821461,Dennis Stock
0.0145925899893076,0.23489898900032477,0.4575989491949507,0.2929094718154168,David Vestal
0.024820166973577015,0.3027503369356689,0.3191699150676104,0.35325958102314364,Roman Vishniac
0.0009772750113209293,0.06039515529684915,0.04595484169189907,0.8926727279999308,Rose Wolfe
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Alfred Auerbach
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Luis de Florez
0.00021092777983319256,0.9801032060541426,0.005813327938943671,0.013872538227080526,Hugh Lawson
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Gordon Russell
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Armour Research Foundation
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Joel D. Barber
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Robin Day
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Bjorn Engo
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Pierre Faucheux
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Emil Guhl
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Willie Guhl
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Johnson-Carpenter Furniture Company
0.00021092777983319256,0.9801032060541426,0.005813327938943671,0.013872538227080526,Donald R. Knorr
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Clive Latimer
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,George Leowald
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Robert E. Lewis
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Massachusetts Institute of Technology
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,John B. McMorran Jr.
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,John O. Merrill Jr.
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Midwest Research Institute
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Clara Porset
0.0018909682193600074,0.8889419089686597,0.03968236490541818,0.06948475790656203,Ernest Race
7.586083806056822e-05,0.005370834475335331,0.0034115794204926855,0.9911417252661114,Junzo Sakakura
0.00021092777983319256,0.9801032060541426,0.005813327938943671,0.013872538227080526,Abel Sorensen
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Edmond J. Spence
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,United States Forest Products Laboratory
0.002463894054206612,0.14275115488488566,0.11084723785123574,0.7439377132096721,"University of California, Santa Barbara, CA"
0.0008091972554640198,0.9428308547737632,0.01947317153916766,0.03688677643160521,Don Wallance
4.766458379942623e-05,0.0032374521337220075,0.002157187127800053,0.9945576961546785,Yale University School of Forestry
7.221302698555711e-05,0.005295075104244293,0.0033999761160842996,0.9912327357526859,Marco Zanuso
0.0015630682298188375,0.08947596758938088,0.10895031100127495,0.8000106531795252,Paul Colin
0.00013665300515445044,0.00921582971959922,0.006930888266648936,0.9837166290085972,Libby Tannenbaum
0.0020884497896817024,0.12260747041981741,0.13751382704139772,0.7377902527491033,Aubrey Beardsley
0.00013665300515445044,0.00921582971959922,0.006930888266648936,0.9837166290085972,Francisco Bolonha
0.00014808333413700493,0.010033005517789071,0.007590837681333447,0.9822280734667405,Paolo Antonio Chessa
0.0001366530051544505,0.009215829719599222,0.006930888266648938,0.9837166290085972,Christian Dior
0.0004400155075284046,0.029108971340189187,0.023851798003943388,0.9465992151483389,August Endell
0.0001366530051544505,0.009215829719599222,0.006930888266648938,0.9837166290085972,Paul Hankar
